순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	오장훈	두산	0.00	1	0	0	0	0	-	1	1	0	1	0	2	0	0	2.00
2	김강률	두산	2.45	16	3	1	0	3	0.750	14.6	14	1	10	0	7	5	4	1.64
3	이현승	두산	2.89	41	3	1	18	2	0.750	46.6	45	3	10	2	41	16	15	1.18
4	허준혁	두산	3.57	16	3	2	0	0	0.600	63	52	7	41	6	45	37	25	1.48
5	함덕주	두산	3.65	68	7	2	2	16	0.778	61.6	52	4	46	2	76	30	25	1.59
6	유희관	두산	3.94	30	18	5	0	0	0.783	189.6	193	23	44	4	126	84	83	1.25
7	윤명준	두산	3.97	60	4	6	6	7	0.400	68	72	9	30	5	48	33	30	1.50
8	장원준	두산	4.08	30	12	12	0	0	0.500	169.6	182	13	68	14	128	86	77	1.47
9	이현호	두산	4.19	49	6	1	0	2	0.857	86	83	8	35	4	87	43	40	1.37
10	노경은	두산	4.47	47	1	4	4	0	0.200	58.3	57	6	37	5	41	33	29	1.61
11	니퍼트	두산	5.10	20	6	5	0	0	0.545	90	104	4	33	4	76	54	51	1.52
12	양현	두산	5.23	13	0	0	0	0	-	10.3	19	2	0	3	7	7	6	1.84
13	스와잭	두산	5.26	20	5	7	0	1	0.417	92.3	110	9	30	4	72	57	54	1.52
14	오현택	두산	5.30	61	1	3	0	13	0.250	56	59	6	16	4	45	33	33	1.34
15	남경호	두산	6.00	5	0	0	0	0	-	9	5	2	7	1	10	7	6	1.33
16	이재우	두산	6.26	37	0	2	0	9	0.000	46	44	9	28	5	47	33	32	1.57
17	진야곱	두산	7.01	47	5	9	0	4	0.357	102.6	120	12	68	3	108	88	80	1.83
18	김명성	두산	7.79	17	1	0	0	0	1.000	17.3	27	2	11	1	10	15	15	2.19
19	마야	두산	8.17	13	2	5	0	0	0.286	68.3	83	6	31	5	62	62	62	1.67
20	김수완	두산	8.80	9	0	0	0	0	-	15.3	22	4	9	3	13	15	15	2.02
21	조승수	두산	9.00	1	0	0	0	0	-	1	2	1	1	0	1	1	1	3.00
22	변진수	두산	10.80	1	1	0	0	0	1.000	1.6	1	0	3	1	1	2	2	2.40
23	박종기	두산	11.57	3	0	0	0	0	-	2.3	4	1	3	0	2	3	3	3.00
24	이원재	두산	12.66	12	1	0	0	0	1.000	10.6	21	2	12	1	5	15	15	3.09
25	장민익	두산	29.25	4	0	0	0	0	-	4	11	4	8	0	4	14	13	4.75
26	이용호	두산	81.00	2	0	0	0	0	-	0.3	2	0	2	0	0	3	3	12.00
